区域ID,区域,样品ID,纬度,经度,LOC PREC,SR87_SR86,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204
3,SEIR,MELBMRG-6-036-001,-41.098,86.23,0.001,0.70348,0.512943,17.735,15.487,37.76
4,SWIR,AII0093-5-006-004,-27.6,65.83,0.01,0.70291,0.51304,17.735,15.505,37.71
3,SEIR,MELWEST-10-128-018,-49.8275,110.412,0.00001,0.70273,0.513141,17.734,15.449,37.631
3,SEIR,MELWEST-10-087-038,-46.7782,96.3675,0.00001,0.70323,0.512981,17.731,15.47,37.596
3,SEIR,DUF0037-001-001,-26.917,72.242,0,0.70315,0.512981,17.722,15.466,37.686
4,SWIR,MELINMD-008-001,-41.98,42.72,0.01,0.70253,0.513218,17.71,15.424,37.234
4,SWIR,DUF0107-029-001-001,-28.95,61.32,0.01,0.702749,0.513104,17.6819,15.4307,37.5406
4,SWIR,DUF0107-029-001-002,-28.95,61.32,0.01,0.702721,0.513092,17.6775,15.4279,37.5334
3,SEIR,DUF0037-001-006,-26.917,72.242,0,0.703189,0.513018,17.666,15.437,37.67
3,SEIR,AII0093-6-013-001,-25.78,70.183,0.001,0.70317,0.51309,17.661,15.528,37.697
4,SWIR,AII0093-6-013-001,-25.78,70.183,0.001,0.70317,0.51309,17.661,15.528,37.697
3,SEIR,DUF0037-003-001,-26.92,72.24,0.01,0.70305,0.513053,17.635,15.457,37.493
3,SEIR,DUF0023-002-001,-26.521,71.925,0.01,0.70308,0.513047,17.62,15.443,37.57
4,SWIR,DUF0107-068,-35.34,53.89,0.01,0.702973,0.51307,17.6044,15.4286,37.5365
4,SWIR,DUF0107-068-001,-35.34,53.89,0.01,0.702967,0.513082,17.6024,15.4273,37.5315
3,SEIR,MELWEST-10-145-001,-49.2749,116.718,0.00001,0.70369,0.512929,17.594,15.473,37.612
4,SWIR,DY0115-017-004A,-31.09,59.11,0.0001,0.702808,0.513112,17.558,15.49,37.363
4,SWIR,DUF0034-001,-31.693,57.842,0.001,0.70276,0.513081,17.554,15.433,37.289
4,SWIR,DUF0107-048,-31.69,57.97,0.01,0.70295,0.513096,17.5354,15.4181,37.2715
