区域,SAMPLE ID,LATITUDE,LONGITUDE,LOC PREC,SR87_SR86,ΔSr,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,7NRHL,8NRHL,Δ7/4,Δ8/4,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,HE3_HE4_R_RA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,YB,LU,BA,NB,PB,RB,SR,TH,U,Y,ZR
SEIR,MELBMRG-6-SP1A,-38.72,77.55,0.01,0.7036,36,0.51289,18.651,15.558,38.842,15.5127684,38.176059,4.52316,66.5941,50.63,3.29,13.37,,,,14.18,0.24,4.49,8.91,3.25,0.99,0.41,,21.2,48.6,,24.7,6.5,3.2,,,6.6,,4.2,4.2,,,,1.89,,,,,,
SEIR,DSDP028-0265-017-001/061-063,-53.5408,109.946,0.0001,0.70349,34.9,0.512893,18.08,15.497,37.999,15.450872,37.48572,4.6128,51.328,49.51,1.63,16.67,,,,7.87,0.12,8.36,10.51,3.27,0.6,0.3,,9.91,24.14,3.24,11.56,3.219,1.41,4.37,0.75,4.63,0.93,2.75,2.55,0.38,104,14.4,0.706,5.631,220.6,1.03,0.31,29,139
SEIR,CHRHYAM-004-062,-34.91,78.67,0.01,0.70367,36.7,0.512899,18.411,15.568,38.36,15.4867524,37.885899,8.12476,47.4101,,,,,,,,,,,,,,,,,,4.8,1.82,,,,,,,,,,,,0.45,82.3,,,,
SEIR,MOA8801-027-058,-49.062,124.965,0.001,0.70365,36.5,0.512903,17.888,15.49,37.837,15.4300592,37.253592,5.99408,58.3408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEIR,MELBMRG-6-034-001,-41.517,87.092,0.001,0.70358,35.8,0.512904,17.812,15.497,37.886,15.4218208,37.161708,7.51792,72.4292,,,,,,,,,,,,,,8.9,4.16,,,12.1,4.42,,,,,,,,,16.6,3.37,0.803,,152,,,,
SEIR,MELWEST-10-126-007,-49.527,109.484,0.001,0.70336,33.6,0.512909,18.198,15.512,38.262,15.4636632,37.628382,4.83368,63.3618,,,,,,,,,,,,,,7.07,9.64,,,12.8,3.48,,,,,,,,,95.6,13,0.989,8.39,243,1.15,0.289,,
SEIR,MELWEST-10-089-004,-47.4463,97.512,0.00001,0.70361,36.1,0.512911,17.937,15.499,37.801,15.4353708,37.312833,6.36292,48.8167,,,,,,,,,,,,,,8.08,7.57,,,13,3.84,,,,,,,,,53.5,9.22,0.966,3.75,232,0.558,0.209,,
SEIR,MELWEST-10-128-001,-49.8275,110.412,0.00001,0.70343,34.3,0.512917,18.132,15.533,38.193,15.4565088,37.548588,7.64912,64.4412,,,,,,,,,,,,,,7.13,5.4,,,8.33,2.62,,,,,,,,,51.1,7.04,0.6,4.7,150,0.606,0.159,,
SEIR,CHRHYAM-STPAUL,-38.7,77.5,0.01,0.70363,36.3,0.512925,18.696,15.58,38.802,15.5176464,38.230464,6.23536,57.1536,,,,,,,,,,,,,,,,,,13.41,3.39,,,,,,,,,,,,8.3,336.2,,,,
SEIR,MELWEST-10-145-001,-49.2749,116.718,0.00001,0.70369,36.9,0.512929,17.594,15.473,37.612,15.3981896,36.898146,7.48104,71.3854,,,,,,,,,,,,,,6.53,6.11,,,10.6,3.19,,,,,,,,,69.9,8.59,0.83,6.1,204,0.634,0.183,,
